"BlockGroup","NAME","TotHH","TotPerson","TotMale","MaleLT5Yrs","Male5to9Yrs","Male10to14Yrs","Male15to17Yrs","Male18to19Yrs","Male20Yrs","Male21Yrs","Male22to24Yrs","Male25to29Yrs","Male30to34Yrs","Male35to39Yrs","Male40to44Yrs","Male45to49Yrs","Male50to54Yrs","Male55to59Yrs","Male60to61Yrs","Male62to64Yrs","Male65to66Yrs","Male67to69Yrs","Male70to74Yrs","Male75to79Yrs","Male80to84Yrs","MaleGE85Yrs","TotFemale","FemaleLT5Yrs","Female5to9Yrs","Female10to14Yrs","Female15to17Yrs","Female18to19Yrs","Female20Yrs","Female21Yrs","Female22to24Yrs","Female25to29Yrs","Female30to34Yrs","Female35to39Yrs","Female40to44Yrs","Female45to49Yrs","Female50to54Yrs","Female55to59Yrs","Female60to61Yrs","Female62to64Yrs","Female65to66Yrs","Female67to69Yrs","Female70to74Yrs","Female75to79Yrs","Female80to84Yrs","FemaleGE85Yrs","Tract","Age1_Female","Age2_Female","Age3_Female","Age1_Male","Age2_Male","Age3_Male","Age1_Total","Age2_Total","Age3_Total","Target_Total","Tract_Name"
"240338058021","Block Group 1, Census Tract 8058.02, Prince George's County, Maryland",607,2549,1367,100,70,84,63,51,30,34,84,162,111,112,87,92,71,72,28,27,20,15,22,14,8,10,1182,86,84,81,53,39,15,21,59,88,105,78,79,74,78,73,30,39,12,29,24,16,8,11,"24033805802",484,294,100,671,290,89,1155,584,189,1928," Census Tract 8058.02, Prince George's County, Maryland"
"240338058022","Block Group 2, Census Tract 8058.02, Prince George's County, Maryland",424,1626,882,74,54,34,37,31,20,17,71,111,97,67,60,57,42,32,15,13,10,16,10,9,1,4,744,81,44,48,39,20,15,9,45,57,83,57,50,55,36,34,14,12,4,13,14,5,2,7,"24033805802",336,151,45,474,159,50,810,310,95,1215," Census Tract 8058.02, Prince George's County, Maryland"
"240338059041","Block Group 1, Census Tract 8059.04, Prince George's County, Maryland",611,2073,1088,68,67,60,43,20,24,25,71,109,104,85,71,75,52,51,22,25,18,17,31,17,18,15,985,54,54,49,36,24,15,20,54,104,73,58,66,55,56,69,19,35,19,26,21,19,32,27,"24033805904",414,234,144,509,225,116,923,459,260,1642," Census Tract 8059.04, Prince George's County, Maryland"
"240338059042","Block Group 2, Census Tract 8059.04, Prince George's County, Maryland",354,1293,668,31,27,39,24,22,8,5,35,72,60,46,36,60,37,29,14,20,13,14,17,27,13,19,625,41,34,31,20,11,5,11,27,57,43,37,42,48,40,35,14,20,12,14,26,25,10,22,"24033805904",233,157,109,284,160,103,517,317,212,1046," Census Tract 8059.04, Prince George's County, Maryland"
"240338059061","Block Group 1, Census Tract 8059.06, Prince George's County, Maryland",812,1555,761,89,33,28,15,12,8,8,59,106,98,61,54,38,48,35,8,23,6,6,11,6,6,3,794,65,48,26,15,20,7,15,56,86,84,59,52,45,41,44,20,20,16,16,22,20,9,8,"24033805906",379,170,91,406,152,38,785,322,129,1236," Census Tract 8059.06, Prince George's County, Maryland"
"240338059062","Block Group 2, Census Tract 8059.06, Prince George's County, Maryland",502,1265,674,73,48,28,20,24,18,7,61,125,84,63,44,34,17,12,5,4,2,2,1,1,0,1,591,78,40,33,26,16,11,11,44,93,74,50,36,26,22,19,0,2,3,5,1,0,1,0,"24033805906",335,69,10,426,72,7,761,141,17,919," Census Tract 8059.06, Prince George's County, Maryland"
"240338059071","Block Group 1, Census Tract 8059.07, Prince George's County, Maryland",296,786,423,37,20,20,12,14,10,8,39,66,48,33,36,22,21,15,7,5,4,1,3,2,0,0,363,47,23,15,10,11,1,4,22,40,41,25,17,29,22,22,11,7,0,8,4,3,0,1,"24033805907",161,91,16,254,70,10,415,161,26,602," Census Tract 8059.07, Prince George's County, Maryland"
"240338059072","Block Group 2, Census Tract 8059.07, Prince George's County, Maryland",973,2226,1061,106,70,34,25,21,17,12,49,147,119,115,80,75,65,55,9,18,11,14,8,8,0,3,1165,110,60,49,33,22,23,15,75,144,135,99,74,86,76,50,19,23,13,13,26,9,9,2,"24033805907",587,254,72,560,222,44,1147,476,116,1739," Census Tract 8059.07, Prince George's County, Maryland"
"240338059073","Block Group 3, Census Tract 8059.07, Prince George's County, Maryland",258,588,281,28,16,13,9,7,2,5,18,29,31,23,15,26,13,13,6,6,4,7,5,1,2,2,307,25,20,11,18,6,3,6,12,31,26,26,19,23,22,25,6,13,4,3,7,1,0,0,"24033805907",129,89,15,130,64,21,259,153,36,448," Census Tract 8059.07, Prince George's County, Maryland"
"240338059081","Block Group 1, Census Tract 8059.08, Prince George's County, Maryland",635,1376,693,54,44,35,23,14,6,13,43,76,69,68,58,51,41,35,9,18,6,6,9,7,7,1,683,51,41,26,16,11,7,7,44,79,59,64,58,56,34,34,12,12,7,17,21,15,5,7,"24033805908",329,148,72,347,154,36,676,302,108,1086," Census Tract 8059.08, Prince George's County, Maryland"
"240338059082","Block Group 2, Census Tract 8059.08, Prince George's County, Maryland",236,747,320,16,16,14,9,21,14,15,28,51,34,30,14,23,14,9,1,7,0,0,2,0,1,1,427,23,15,6,3,73,29,40,56,36,32,30,27,18,11,10,4,6,2,2,2,0,1,1,"24033805908",323,49,8,207,54,4,530,103,12,645," Census Tract 8059.08, Prince George's County, Maryland"
