"BlockGroup","NAME","TotHH","TotPerson","TotMale","MaleLT5Yrs","Male5to9Yrs","Male10to14Yrs","Male15to17Yrs","Male18to19Yrs","Male20Yrs","Male21Yrs","Male22to24Yrs","Male25to29Yrs","Male30to34Yrs","Male35to39Yrs","Male40to44Yrs","Male45to49Yrs","Male50to54Yrs","Male55to59Yrs","Male60to61Yrs","Male62to64Yrs","Male65to66Yrs","Male67to69Yrs","Male70to74Yrs","Male75to79Yrs","Male80to84Yrs","MaleGE85Yrs","TotFemale","FemaleLT5Yrs","Female5to9Yrs","Female10to14Yrs","Female15to17Yrs","Female18to19Yrs","Female20Yrs","Female21Yrs","Female22to24Yrs","Female25to29Yrs","Female30to34Yrs","Female35to39Yrs","Female40to44Yrs","Female45to49Yrs","Female50to54Yrs","Female55to59Yrs","Female60to61Yrs","Female62to64Yrs","Female65to66Yrs","Female67to69Yrs","Female70to74Yrs","Female75to79Yrs","Female80to84Yrs","FemaleGE85Yrs","Tract","Age1_Female","Age2_Female","Age3_Female","Age1_Male","Age2_Male","Age3_Male","Age1_Total","Age2_Total","Age3_Total","Target_Total","Tract_Name"
"240338001021","Block Group 1, Census Tract 8001.02, Prince George's County, Maryland",384,780,377,17,17,22,7,11,5,3,17,33,36,30,29,39,36,27,13,9,7,7,5,6,0,1,403,21,18,21,10,14,5,6,19,33,39,29,35,48,44,19,7,5,6,5,7,6,2,4,"24033800102",180,123,30,164,124,26,344,247,56,647," Census Tract 8001.02, Prince George's County, Maryland"
"240338001022","Block Group 2, Census Tract 8001.02, Prince George's County, Maryland",816,1410,655,49,25,20,11,8,9,3,34,74,65,48,42,55,44,57,11,21,13,17,21,14,7,7,755,37,27,25,18,5,6,2,36,79,75,64,35,62,54,43,13,33,14,28,26,30,22,21,"24033800102",302,205,141,283,188,79,585,393,220,1198," Census Tract 8001.02, Prince George's County, Maryland"
"240338001023","Block Group 3, Census Tract 8001.02, Prince George's County, Maryland",255,573,285,17,17,19,8,2,2,6,11,18,17,21,20,25,28,26,8,5,4,4,8,8,9,2,288,14,15,19,8,5,4,3,6,16,27,20,24,17,24,16,12,8,4,9,11,10,9,7,"24033800102",105,77,50,97,92,35,202,169,85,456," Census Tract 8001.02, Prince George's County, Maryland"
"240338001031","Block Group 1, Census Tract 8001.03, Prince George's County, Maryland",311,670,333,25,12,14,10,7,4,4,6,26,20,27,24,32,34,40,4,16,6,8,5,6,3,0,337,25,14,18,11,6,4,3,10,27,29,25,24,31,38,23,9,9,9,3,10,3,3,3,"24033800103",128,110,31,118,126,28,246,236,59,541," Census Tract 8001.03, Prince George's County, Maryland"
"240338001032","Block Group 2, Census Tract 8001.03, Prince George's County, Maryland",639,1508,807,82,64,32,23,15,10,14,51,116,83,74,55,49,54,28,21,12,2,5,9,4,2,2,701,71,26,35,18,14,11,16,61,104,94,45,41,53,43,25,4,5,8,4,6,3,5,9,"24033800103",386,130,35,418,164,24,804,294,59,1157," Census Tract 8001.03, Prince George's County, Maryland"
"240338001051","Block Group 1, Census Tract 8001.05, Prince George's County, Maryland",369,896,422,25,35,32,18,13,4,3,13,33,36,37,28,41,29,21,9,11,7,5,10,3,3,6,474,29,29,30,12,9,6,1,16,34,30,53,41,29,43,33,11,19,4,7,12,13,7,6,"24033800105",190,135,49,167,111,34,357,246,83,686," Census Tract 8001.05, Prince George's County, Maryland"
"240338001052","Block Group 2, Census Tract 8001.05, Prince George's County, Maryland",426,1064,487,34,28,37,14,17,9,6,15,26,39,39,40,32,43,32,10,17,10,4,14,7,11,3,577,39,40,36,21,11,8,7,14,31,47,44,55,36,43,37,14,16,11,17,19,15,8,8,"24033800105",217,146,78,191,134,49,408,280,127,815," Census Tract 8001.05, Prince George's County, Maryland"
"240338001053","Block Group 3, Census Tract 8001.05, Prince George's County, Maryland",623,1505,701,66,50,48,29,9,14,6,33,61,76,63,46,63,42,35,12,17,7,8,10,2,2,2,804,55,50,56,34,13,8,7,20,68,78,92,55,74,65,46,15,24,9,4,14,4,7,6,"24033800105",341,224,44,308,169,31,649,393,75,1117," Census Tract 8001.05, Prince George's County, Maryland"
"240338001061","Block Group 1, Census Tract 8001.06, Prince George's County, Maryland",613,1294,561,69,32,35,17,14,2,6,32,45,51,62,41,34,47,31,8,13,3,6,6,5,2,0,733,50,39,35,18,17,6,4,27,53,88,66,67,66,62,43,17,19,16,9,12,5,6,8,"24033800106",328,207,56,253,133,22,581,340,78,999," Census Tract 8001.06, Prince George's County, Maryland"
"240338001062","Block Group 2, Census Tract 8001.06, Prince George's County, Maryland",519,1357,647,61,57,32,22,12,7,6,22,43,49,48,55,53,63,56,10,22,9,2,8,2,2,6,710,48,46,45,17,9,10,8,13,53,71,62,66,58,77,43,13,16,6,11,16,11,7,4,"24033800106",292,207,55,242,204,29,534,411,84,1029," Census Tract 8001.06, Prince George's County, Maryland"
"240338001081","Block Group 1, Census Tract 8001.08, Prince George's County, Maryland",1433,2762,1248,97,60,63,33,29,8,8,77,151,154,132,109,98,79,63,15,25,8,8,15,13,1,2,1514,110,82,74,42,14,10,16,108,222,175,125,132,101,101,61,45,32,12,11,13,16,5,7,"24033800108",802,340,64,668,280,47,1470,620,111,2201," Census Tract 8001.08, Prince George's County, Maryland"
"240338001082","Block Group 2, Census Tract 8001.08, Prince George's County, Maryland",317,797,424,34,30,20,19,16,10,5,40,45,38,37,21,41,23,20,7,1,4,5,3,3,2,0,373,32,22,22,19,6,2,8,16,40,33,24,38,25,23,23,4,8,5,4,7,5,2,5,"24033800108",167,83,28,212,92,17,379,175,45,599," Census Tract 8001.08, Prince George's County, Maryland"
"240338001091","Block Group 1, Census Tract 8001.09, Prince George's County, Maryland",704,1834,926,69,61,68,28,23,19,13,43,79,97,82,75,64,64,39,13,19,12,12,17,12,13,4,908,75,71,49,32,17,5,15,44,80,90,70,62,55,56,52,17,22,6,10,40,21,6,13,"24033800109",383,202,96,431,199,70,814,401,166,1381," Census Tract 8001.09, Prince George's County, Maryland"
"240338001092","Block Group 2, Census Tract 8001.09, Prince George's County, Maryland",409,984,432,39,40,32,18,13,4,7,18,16,26,36,32,31,24,18,10,14,5,7,12,8,5,17,552,44,43,28,27,16,8,9,15,35,27,43,42,35,28,34,11,13,10,10,14,12,14,34,"24033800109",195,121,94,152,97,54,347,218,148,713," Census Tract 8001.09, Prince George's County, Maryland"
"240338001093","Block Group 3, Census Tract 8001.09, Prince George's County, Maryland",412,1000,498,37,49,33,16,15,6,4,23,61,60,43,41,35,31,21,11,4,1,4,2,1,0,0,502,56,40,37,13,14,3,9,25,53,54,45,27,31,31,26,8,9,4,3,7,1,1,5,"24033800109",230,105,21,253,102,8,483,207,29,719," Census Tract 8001.09, Prince George's County, Maryland"
"240338002031","Block Group 1, Census Tract 8002.03, Prince George's County, Maryland",865,2372,1178,55,83,77,56,24,14,19,48,62,51,60,76,98,100,93,30,41,19,44,46,50,22,10,1194,56,73,84,43,19,6,9,40,43,56,59,78,101,123,91,32,42,28,51,61,50,32,17,"24033800203",310,389,239,354,362,191,664,751,430,1845," Census Tract 8002.03, Prince George's County, Maryland"
"240338002032","Block Group 2, Census Tract 8002.03, Prince George's County, Maryland",651,1880,901,55,57,62,40,18,8,10,40,47,49,58,68,69,81,57,32,20,17,33,31,24,17,8,979,59,53,73,33,15,11,8,29,50,48,53,72,89,88,69,23,32,25,34,37,31,18,29,"24033800203",286,301,174,298,259,130,584,560,304,1448," Census Tract 8002.03, Prince George's County, Maryland"
"240338002061","Block Group 1, Census Tract 8002.06, Prince George's County, Maryland",541,1548,775,59,59,53,28,21,10,13,26,37,45,64,56,52,76,56,26,37,12,14,19,10,2,0,773,55,39,45,37,13,8,6,28,42,55,55,65,68,71,67,19,29,13,13,16,12,9,8,"24033800206",272,254,71,272,247,57,544,501,128,1173," Census Tract 8002.06, Prince George's County, Maryland"
"240338002062","Block Group 2, Census Tract 8002.06, Prince George's County, Maryland",1056,2441,1099,119,93,80,60,28,18,18,73,100,86,90,82,81,76,40,9,16,8,5,11,1,5,0,1342,94,101,92,59,33,15,24,67,149,120,124,121,108,79,68,12,20,8,10,22,11,4,1,"24033800206",653,287,56,495,222,30,1148,509,86,1743," Census Tract 8002.06, Prince George's County, Maryland"
"240338002081","Block Group 1, Census Tract 8002.08, Prince George's County, Maryland",756,1937,907,83,82,79,33,29,7,8,32,69,69,59,61,59,64,45,21,20,16,14,20,19,11,7,1030,73,68,77,47,17,11,15,49,74,90,95,76,70,62,56,18,24,17,20,27,28,10,6,"24033800208",427,230,108,334,209,87,761,439,195,1395," Census Tract 8002.08, Prince George's County, Maryland"
"240338002082","Block Group 2, Census Tract 8002.08, Prince George's County, Maryland",936,2906,1453,95,127,126,71,37,18,11,49,61,68,99,133,143,123,92,26,49,17,23,35,27,13,10,1453,79,133,92,58,30,12,11,39,60,66,109,147,128,129,89,45,47,29,38,53,32,12,15,"24033800208",474,438,179,476,433,125,950,871,304,2125," Census Tract 8002.08, Prince George's County, Maryland"
"240338002083","Block Group 3, Census Tract 8002.08, Prince George's County, Maryland",976,2798,1394,123,115,99,63,64,35,26,76,78,106,105,104,104,93,78,23,32,15,15,18,12,7,3,1404,108,106,96,60,49,28,20,62,97,107,117,126,128,88,66,28,40,19,18,17,16,4,4,"24033800208",606,350,78,594,330,70,1200,680,148,2028," Census Tract 8002.08, Prince George's County, Maryland"
"240338002091","Block Group 1, Census Tract 8002.09, Prince George's County, Maryland",955,2224,1087,118,93,66,54,25,21,23,78,131,109,92,61,68,58,31,10,12,6,12,8,2,6,3,1137,118,96,83,35,27,23,21,79,132,118,87,58,60,55,29,7,22,5,15,17,20,9,21,"24033800209",545,173,87,540,179,37,1085,352,124,1561," Census Tract 8002.09, Prince George's County, Maryland"
"240338002092","Block Group 2, Census Tract 8002.09, Prince George's County, Maryland",810,1777,771,58,45,44,24,19,9,7,59,89,70,52,58,50,47,33,15,17,11,11,18,20,8,7,1006,65,55,44,25,9,14,6,78,131,93,96,70,57,48,53,25,29,2,11,21,24,15,35,"24033800209",497,212,108,363,162,75,860,374,183,1417," Census Tract 8002.09, Prince George's County, Maryland"
"240338002101","Block Group 1, Census Tract 8002.10, Prince George's County, Maryland",326,831,403,48,24,30,16,4,4,5,16,25,27,47,43,30,20,23,6,7,9,4,8,4,1,2,428,31,32,32,15,10,4,4,22,40,50,37,28,28,25,22,5,10,4,11,8,5,3,2,"24033800210",195,90,33,171,86,28,366,176,61,603," Census Tract 8002.10, Prince George's County, Maryland"
"240338002102","Block Group 2, Census Tract 8002.10, Prince George's County, Maryland",970,2051,901,120,78,59,42,24,8,11,63,136,81,80,66,46,36,22,9,4,2,2,8,2,0,2,1150,108,80,80,35,24,17,16,82,178,132,105,76,68,61,32,18,12,4,5,8,5,3,1,"24033800210",630,191,26,469,117,16,1099,308,42,1449," Census Tract 8002.10, Prince George's County, Maryland"
"240338002111","Block Group 1, Census Tract 8002.11, Prince George's County, Maryland",525,1081,518,48,35,29,11,12,5,8,19,55,45,45,55,43,32,26,12,8,10,3,6,3,5,3,563,38,21,21,7,6,3,7,27,72,48,64,57,47,43,40,11,12,3,7,9,7,9,4,"24033800211",284,153,39,244,121,30,528,274,69,871," Census Tract 8002.11, Prince George's County, Maryland"
"240338002112","Block Group 2, Census Tract 8002.11, Prince George's County, Maryland",914,1859,825,63,52,74,37,12,8,9,49,76,79,64,51,66,44,24,11,20,9,16,20,13,18,10,1034,74,78,46,30,16,12,14,79,93,87,68,43,65,51,36,13,26,16,30,49,42,36,30,"24033800211",412,191,203,348,165,86,760,356,289,1405," Census Tract 8002.11, Prince George's County, Maryland"
"240338002121","Block Group 1, Census Tract 8002.12, Prince George's County, Maryland",1320,3351,1622,130,116,107,53,80,47,34,97,141,122,155,119,125,79,74,25,30,14,25,23,13,6,7,1729,136,117,94,47,34,14,17,95,161,139,165,143,141,128,89,36,37,27,21,33,25,18,12,"24033800212",768,431,136,795,333,88,1563,764,224,2551," Census Tract 8002.12, Prince George's County, Maryland"
"240338002122","Block Group 2, Census Tract 8002.12, Prince George's County, Maryland",509,848,342,2,1,0,0,4,0,1,8,18,9,4,7,5,20,44,25,43,25,32,49,21,14,10,506,3,1,1,0,3,1,4,3,16,11,4,8,13,19,78,56,73,34,53,59,31,18,17,"24033800212",50,239,212,51,137,151,101,376,363,840," Census Tract 8002.12, Prince George's County, Maryland"
"240338002131","Block Group 1, Census Tract 8002.13, Prince George's County, Maryland",542,862,421,37,9,13,7,2,0,1,47,69,76,47,40,19,18,16,5,6,0,3,3,2,1,0,441,25,14,6,8,4,1,8,16,97,84,47,42,18,21,26,5,4,7,2,3,1,2,0,"24033800213",299,74,15,282,64,9,581,138,24,743," Census Tract 8002.13, Prince George's County, Maryland"
"240338002132","Block Group 2, Census Tract 8002.13, Prince George's County, Maryland",379,1253,653,54,51,38,27,11,10,7,29,50,56,58,50,48,48,41,10,21,11,15,8,8,2,0,600,43,47,37,21,16,4,12,23,41,40,43,39,55,59,44,9,24,6,8,9,10,6,4,"24033800213",218,191,43,271,168,44,489,359,87,935," Census Tract 8002.13, Prince George's County, Maryland"
"240338002133","Block Group 3, Census Tract 8002.13, Prince George's County, Maryland",994,2240,1010,82,70,67,49,13,10,7,33,95,104,112,89,75,73,58,12,18,11,7,11,11,1,2,1230,114,87,56,45,12,6,7,35,113,150,158,107,90,79,67,18,22,14,10,20,10,7,3,"24033800213",588,276,64,463,236,43,1051,512,107,1670," Census Tract 8002.13, Prince George's County, Maryland"
"240338002141","Block Group 1, Census Tract 8002.14, Prince George's County, Maryland",293,735,350,28,20,16,19,6,6,3,16,34,32,32,24,35,23,15,4,11,7,5,11,1,1,1,385,29,33,23,4,4,3,3,23,34,33,29,24,29,26,29,10,11,8,9,10,0,8,3,"24033800214",153,105,38,153,88,26,306,193,64,563," Census Tract 8002.14, Prince George's County, Maryland"
"240338002142","Block Group 2, Census Tract 8002.14, Prince George's County, Maryland",894,1955,941,91,71,53,32,17,14,8,52,153,94,83,92,63,36,24,14,10,9,10,7,3,1,4,1014,84,78,67,28,17,10,15,66,169,123,86,54,60,53,41,16,16,6,7,11,5,0,2,"24033800214",540,186,31,513,147,34,1053,333,65,1451," Census Tract 8002.14, Prince George's County, Maryland"
"240338002151","Block Group 1, Census Tract 8002.15, Prince George's County, Maryland",370,910,415,36,31,23,15,12,6,6,18,35,33,27,32,47,19,30,10,11,8,10,4,2,0,0,495,30,28,35,24,8,10,5,23,57,37,35,38,45,41,32,15,15,2,5,5,1,1,3,"24033800215",213,148,17,169,117,24,382,265,41,688," Census Tract 8002.15, Prince George's County, Maryland"
"240338002152","Block Group 2, Census Tract 8002.15, Prince George's County, Maryland",735,1724,796,81,58,49,25,24,11,8,38,72,83,61,64,54,56,27,8,16,10,15,20,8,7,1,928,89,57,56,38,21,9,12,50,102,77,66,73,67,54,47,20,24,13,14,15,14,5,5,"24033800215",410,212,66,361,161,61,771,373,127,1271," Census Tract 8002.15, Prince George's County, Maryland"
"240338004011","Block Group 1, Census Tract 8004.01, Prince George's County, Maryland",461,1353,637,35,44,49,27,12,12,6,30,33,19,39,53,72,50,55,11,17,10,16,22,10,8,7,716,36,40,71,31,13,7,6,23,37,29,32,60,83,65,54,18,13,11,14,31,20,11,11,"24033800401",207,233,98,204,205,73,411,438,171,1020," Census Tract 8004.01, Prince George's County, Maryland"
"240338004012","Block Group 2, Census Tract 8004.01, Prince George's County, Maryland",461,1179,545,24,27,39,18,8,12,7,13,25,29,42,45,47,52,39,15,16,10,21,25,14,12,5,634,26,30,47,20,11,4,2,13,32,30,54,42,52,63,49,10,23,13,28,35,20,14,16,"24033800401",188,197,126,181,169,87,369,366,213,948," Census Tract 8004.01, Prince George's County, Maryland"
"240338004021","Block Group 1, Census Tract 8004.02, Prince George's County, Maryland",325,893,430,27,22,33,20,10,2,3,18,21,17,22,41,35,29,26,8,13,15,12,24,17,8,7,463,27,37,33,15,12,4,3,12,18,26,26,39,33,38,37,9,12,6,17,23,11,13,12,"24033800402",140,129,82,134,111,83,274,240,165,679," Census Tract 8004.02, Prince George's County, Maryland"
"240338004022","Block Group 2, Census Tract 8004.02, Prince George's County, Maryland",639,1684,805,49,50,42,30,16,8,5,38,45,28,58,53,72,68,62,14,25,18,20,38,33,20,13,879,39,51,55,28,21,11,5,28,29,48,58,77,76,72,64,20,26,19,27,42,41,26,16,"24033800402",277,258,171,251,241,142,528,499,313,1340," Census Tract 8004.02, Prince George's County, Maryland"
"240338004023","Block Group 3, Census Tract 8004.02, Prince George's County, Maryland",511,1285,608,41,31,39,27,22,1,10,25,37,34,34,43,46,52,41,20,16,6,9,28,24,16,6,677,32,32,30,18,11,7,7,20,32,39,37,63,57,65,54,19,21,10,16,40,30,19,18,"24033800402",216,216,133,206,175,89,422,391,222,1035," Census Tract 8004.02, Prince George's County, Maryland"
"240338004024","Block Group 4, Census Tract 8004.02, Prince George's County, Maryland",442,1059,510,38,32,25,25,11,4,4,26,46,33,36,33,43,35,31,15,14,8,10,25,7,7,2,549,28,22,32,10,13,7,5,15,36,44,41,39,48,45,36,11,22,15,17,21,23,10,9,"24033800402",200,162,95,193,138,59,393,300,154,847," Census Tract 8004.02, Prince George's County, Maryland"
"240338004031","Block Group 1, Census Tract 8004.03, Prince George's County, Maryland",930,2662,1314,84,119,113,61,28,14,19,49,53,45,71,122,125,127,79,29,27,20,33,33,27,25,11,1348,78,94,84,59,20,12,8,30,46,64,100,143,140,129,77,34,43,23,44,41,34,28,17,"24033800403",423,423,187,401,387,149,824,810,336,1970," Census Tract 8004.03, Prince George's County, Maryland"
"240338004032","Block Group 2, Census Tract 8004.03, Prince George's County, Maryland",417,1021,477,29,21,16,27,14,5,4,16,23,25,25,42,47,42,34,10,16,9,16,28,17,6,5,544,25,33,27,23,10,4,4,19,22,23,31,34,43,48,27,10,24,20,27,34,25,17,14,"24033800403",147,152,137,154,149,81,301,301,218,820," Census Tract 8004.03, Prince George's County, Maryland"
"240338004081","Block Group 1, Census Tract 8004.08, Prince George's County, Maryland",739,2437,1153,62,118,110,44,32,11,14,48,46,56,73,82,111,124,77,27,36,17,16,28,11,5,5,1284,85,113,109,58,40,16,15,40,50,77,74,109,113,126,100,26,32,16,23,27,14,16,5,"24033800408",421,397,101,362,375,82,783,772,183,1738," Census Tract 8004.08, Prince George's County, Maryland"
"240338004082","Block Group 2, Census Tract 8004.08, Prince George's County, Maryland",691,2057,1023,62,82,81,48,27,13,17,33,48,41,69,75,93,99,102,27,33,13,16,18,15,7,4,1034,62,68,65,41,18,8,12,47,54,61,64,96,98,95,97,34,25,20,18,14,15,10,12,"24033800408",360,349,89,323,354,73,683,703,162,1548," Census Tract 8004.08, Prince George's County, Maryland"
"240338004083","Block Group 3, Census Tract 8004.08, Prince George's County, Maryland",718,2314,1130,75,81,85,44,37,14,17,41,47,52,77,106,89,100,76,39,41,24,26,29,20,6,4,1184,75,88,98,60,22,8,11,37,52,67,92,89,107,106,89,38,40,18,21,27,21,9,9,"24033800408",378,380,105,391,345,109,769,725,214,1708," Census Tract 8004.08, Prince George's County, Maryland"
"240338004091","Block Group 1, Census Tract 8004.09, Prince George's County, Maryland",899,2666,1293,79,85,102,67,41,21,24,52,45,68,75,82,133,135,95,38,36,28,29,29,17,7,5,1373,67,78,103,66,31,25,14,46,46,77,87,115,152,148,126,32,44,22,36,26,16,9,7,"24033800409",441,502,116,408,437,115,849,939,231,2019," Census Tract 8004.09, Prince George's County, Maryland"
"240338004092","Block Group 2, Census Tract 8004.09, Prince George's County, Maryland",446,1310,651,38,38,32,38,14,4,9,26,31,23,32,43,71,69,56,24,30,19,16,23,6,6,3,659,19,43,39,30,14,5,6,20,25,23,57,46,67,71,64,21,26,16,20,19,13,10,5,"24033800409",196,249,83,182,250,73,378,499,156,1033," Census Tract 8004.09, Prince George's County, Maryland"
"240338004093","Block Group 3, Census Tract 8004.09, Prince George's County, Maryland",889,2386,1134,75,71,97,71,31,20,16,36,53,40,60,88,109,101,102,22,43,17,13,22,18,18,11,1252,56,77,93,57,41,17,9,27,46,57,93,94,131,120,117,28,43,15,22,16,20,21,52,"24033800409",384,439,146,344,377,99,728,816,245,1789," Census Tract 8004.09, Prince George's County, Maryland"
"240338004101","Block Group 1, Census Tract 8004.10, Prince George's County, Maryland",562,1426,660,24,25,57,49,12,15,4,24,25,30,44,47,72,96,56,16,19,11,11,11,6,3,3,766,33,51,55,32,10,4,9,27,34,35,47,61,103,95,67,24,24,10,15,12,3,10,5,"24033800410",227,313,55,201,259,45,428,572,100,1100," Census Tract 8004.10, Prince George's County, Maryland"
"240338004102","Block Group 2, Census Tract 8004.10, Prince George's County, Maryland",602,2181,1057,55,69,96,59,114,31,24,33,48,39,59,69,82,107,68,25,19,11,17,11,8,7,6,1124,49,63,66,51,127,68,33,57,46,37,62,77,98,106,70,17,30,11,17,11,11,10,7,"24033800410",507,321,67,417,301,60,924,622,127,1673," Census Tract 8004.10, Prince George's County, Maryland"
"240338004103","Block Group 3, Census Tract 8004.10, Prince George's County, Maryland",629,3027,1351,82,82,87,55,171,83,64,91,65,44,73,90,99,93,73,19,27,11,10,13,12,4,3,1676,80,107,70,58,333,129,101,131,66,76,84,84,116,80,57,22,21,8,17,15,7,7,7,"24033800410",1004,296,61,681,311,53,1685,607,114,2406," Census Tract 8004.10, Prince George's County, Maryland"
"240338004111","Block Group 1, Census Tract 8004.11, Prince George's County, Maryland",995,2832,1397,95,111,97,68,43,17,27,77,103,76,80,83,99,131,105,34,49,21,27,27,18,3,6,1435,79,98,108,64,27,14,22,81,98,91,96,100,120,130,127,28,47,23,21,27,13,12,9,"24033800411",529,452,105,506,418,102,1035,870,207,2112," Census Tract 8004.11, Prince George's County, Maryland"
"240338004112","Block Group 2, Census Tract 8004.11, Prince George's County, Maryland",439,1420,683,30,49,62,33,17,8,8,31,32,25,28,52,48,84,72,14,24,19,15,16,6,6,4,737,29,43,59,51,26,12,6,25,33,27,38,61,67,85,63,19,29,12,13,14,8,5,12,"24033800411",228,263,64,201,242,66,429,505,130,1064," Census Tract 8004.11, Prince George's County, Maryland"
"240338004121","Block Group 1, Census Tract 8004.12, Prince George's County, Maryland",451,1408,674,36,40,36,25,28,11,9,31,47,45,27,37,46,71,52,19,22,13,14,30,17,13,5,734,33,41,35,35,20,9,12,35,37,29,34,50,68,74,58,22,36,4,27,26,23,10,16,"24033800412",226,258,106,235,210,92,461,468,198,1127," Census Tract 8004.12, Prince George's County, Maryland"
"240338004122","Block Group 2, Census Tract 8004.12, Prince George's County, Maryland",714,1864,901,78,59,60,38,30,11,14,46,77,65,75,70,69,61,51,16,23,7,15,10,10,10,6,963,72,59,49,34,17,10,17,39,103,83,56,72,70,71,72,35,20,14,14,14,19,14,9,"24033800412",397,268,84,388,220,58,785,488,142,1415," Census Tract 8004.12, Prince George's County, Maryland"
"240338004131","Block Group 1, Census Tract 8004.13, Prince George's County, Maryland",697,1780,780,102,65,66,31,33,15,9,36,86,59,63,61,38,44,29,8,15,6,5,4,3,2,0,1000,89,69,67,44,25,15,19,64,100,95,83,81,64,59,51,18,18,7,15,7,6,2,2,"24033800413",482,210,39,362,134,20,844,344,59,1247," Census Tract 8004.13, Prince George's County, Maryland"
"240338004132","Block Group 2, Census Tract 8004.13, Prince George's County, Maryland",720,1934,866,84,75,62,44,28,7,13,35,49,48,59,75,75,68,43,22,36,9,11,14,4,2,3,1068,80,58,70,53,22,13,16,35,56,68,93,86,117,88,88,24,32,11,13,29,4,7,5,"24033800413",389,349,69,314,244,43,703,593,112,1408," Census Tract 8004.13, Prince George's County, Maryland"
"240338005041","Block Group 1, Census Tract 8005.04, Prince George's County, Maryland",774,1981,926,58,57,60,55,23,10,6,36,55,44,58,59,84,69,69,19,34,13,17,38,32,25,5,1055,50,48,70,43,23,11,8,23,51,49,66,68,87,82,90,30,34,15,42,49,39,36,41,"24033800504",299,323,222,291,275,130,590,598,352,1540," Census Tract 8005.04, Prince George's County, Maryland"
"240338005042","Block Group 2, Census Tract 8005.04, Prince George's County, Maryland",500,1368,658,35,34,39,27,20,9,15,24,38,31,34,43,53,52,59,15,24,17,12,26,28,12,11,710,35,38,50,27,17,8,5,16,26,38,32,60,67,63,58,21,27,13,20,36,29,15,9,"24033800504",202,236,122,214,203,106,416,439,228,1083," Census Tract 8005.04, Prince George's County, Maryland"
"240338005043","Block Group 3, Census Tract 8005.04, Prince George's County, Maryland",487,1311,628,36,53,41,21,9,5,9,28,31,49,41,35,62,48,35,14,21,14,12,17,24,16,7,683,16,60,41,31,12,8,8,9,22,41,39,58,69,41,48,14,26,14,19,26,37,27,17,"24033800504",197,198,140,207,180,90,404,378,230,1012," Census Tract 8005.04, Prince George's County, Maryland"
"240338005051","Block Group 1, Census Tract 8005.05, Prince George's County, Maryland",438,1178,588,38,36,39,34,18,11,5,22,26,31,35,41,58,56,32,11,25,5,8,16,20,13,8,590,35,23,34,17,13,12,4,19,33,39,29,50,58,53,38,13,21,7,17,21,28,17,9,"24033800505",199,183,99,189,182,70,388,365,169,922," Census Tract 8005.05, Prince George's County, Maryland"
"240338005052","Block Group 2, Census Tract 8005.05, Prince George's County, Maryland",581,1498,737,38,45,47,37,17,11,11,33,38,40,45,54,75,52,54,20,20,9,14,29,25,11,12,761,52,38,38,31,18,6,7,20,38,41,48,58,74,51,60,18,20,15,25,42,32,16,13,"24033800505",236,223,143,249,221,100,485,444,243,1172," Census Tract 8005.05, Prince George's County, Maryland"
"240338005071","Block Group 1, Census Tract 8005.07, Prince George's County, Maryland",693,1710,844,55,91,77,48,19,7,10,30,49,46,55,90,86,64,43,12,18,14,7,15,4,2,2,866,46,62,66,27,15,7,7,41,71,57,81,94,99,73,40,16,17,7,9,11,11,4,5,"24033800507",373,245,47,306,223,44,679,468,91,1238," Census Tract 8005.07, Prince George's County, Maryland"
"240338005072","Block Group 2, Census Tract 8005.07, Prince George's County, Maryland",427,1233,611,25,37,47,25,14,7,11,22,23,30,25,58,57,67,47,22,23,12,16,22,11,7,3,622,29,38,48,31,12,8,10,20,24,11,28,59,72,57,50,20,21,18,16,19,9,10,12,"24033800507",172,220,84,190,216,71,362,436,155,953," Census Tract 8005.07, Prince George's County, Maryland"
"240338005091","Block Group 1, Census Tract 8005.09, Prince George's County, Maryland",716,1649,732,44,49,55,31,24,11,5,31,58,56,56,53,63,47,39,16,19,15,19,26,10,3,2,917,39,40,61,31,18,11,6,21,71,85,84,88,82,62,63,31,34,16,18,28,14,6,8,"24033800509",384,272,90,294,184,75,678,456,165,1299," Census Tract 8005.09, Prince George's County, Maryland"
"240338005092","Block Group 2, Census Tract 8005.09, Prince George's County, Maryland",1392,3073,1292,70,83,70,51,25,11,14,36,49,42,69,78,93,85,86,49,75,50,60,71,70,36,19,1781,61,71,82,55,27,13,8,43,41,59,84,88,119,117,170,93,128,87,106,153,82,65,29,"24033800509",363,627,522,324,388,306,687,1015,828,2530," Census Tract 8005.09, Prince George's County, Maryland"
"240338005093","Block Group 3, Census Tract 8005.09, Prince George's County, Maryland",994,3115,1508,92,111,147,103,37,24,17,52,62,63,83,121,200,136,121,32,34,18,18,21,8,5,3,1607,82,117,127,95,35,29,15,51,64,88,110,165,192,157,119,40,35,14,16,18,18,12,8,"24033800509",557,543,86,459,523,73,1016,1066,159,2241," Census Tract 8005.09, Prince George's County, Maryland"
"240338005094","Block Group 4, Census Tract 8005.09, Prince George's County, Maryland",542,1502,715,23,29,50,44,28,11,14,24,35,29,31,46,51,44,51,29,31,26,30,47,27,11,4,787,30,36,41,35,17,6,5,18,35,27,37,40,65,59,69,39,50,37,45,49,22,13,12,"24033800509",185,282,178,218,206,145,403,488,323,1214," Census Tract 8005.09, Prince George's County, Maryland"
